time,frequency,confidence
0.000,288.144,0.587562
0.100,415.083,0.856328
0.200,425.145,0.881312
0.300,398.272,0.153558
0.400,373.255,0.856415
0.500,389.647,0.896240
0.600,398.238,0.938620
0.700,389.946,0.785555
0.800,382.864,0.545012
0.900,285.197,0.319405
1.000,375.823,0.963831
1.100,383.239,0.299361
1.200,315.670,0.840363
1.300,352.437,0.475892
1.400,394.147,0.696005
1.500,419.132,0.892321
1.600,429.351,0.411020
1.700,419.302,0.795998
1.800,464.637,0.738011
1.900,276.364,0.092293
2.000,164.264,0.647079
2.100,129.106,0.808637
2.200,111.862,0.852318
2.300,93.084,0.610851
2.400,79.792,0.302322
2.500,1184.786,0.005013
2.600,32.882,0.054355
2.700,197.270,0.038797
2.800,351.119,0.013525
2.900,307.060,0.453810
3.000,389.912,0.380070
3.100,398.705,0.330545
3.200,416.321,0.930656
3.300,408.425,0.692337
3.400,981.197,0.009761
3.500,495.181,0.964528
3.600,485.354,0.747838
3.700,213.124,0.219895
3.800,267.936,0.055793
3.900,184.673,0.914540
4.000,165.769,0.761591
