time,frequency,confidence
0.000,221.874,0.377772
0.100,119.396,0.177281
0.200,279.991,0.584082
0.300,92.608,0.761012
0.400,278.156,0.373929
0.500,137.034,0.200123
0.600,103.240,0.873983
0.700,98.402,0.822173
0.800,121.616,0.849344
0.900,107.164,0.875197
1.000,98.283,0.592149
1.100,216.845,0.049501
1.200,115.269,0.156621
1.300,103.058,0.871701
1.400,195.715,0.037155
1.500,110.249,0.928657
1.600,99.779,0.128731
1.700,103.798,0.862083
1.800,96.465,0.883792
1.900,102.796,0.929732
2.000,192.448,0.356641
2.100,97.979,0.938588
2.200,97.849,0.687755
2.300,93.159,0.781735
2.400,93.442,0.862228
2.500,97.068,0.801256
2.600,85.154,0.067742
2.700,94.529,0.799534
2.800,94.437,0.771800
2.900,88.758,0.867709
3.000,86.012,0.295583
