time,frequency,confidence
0.000,646.913,0.068650
0.100,1043.875,0.957693
0.200,1043.205,0.959010
0.300,1045.167,0.961750
0.400,1041.035,0.954203
0.500,1046.944,0.955026
0.600,1041.949,0.951892
0.700,1043.208,0.954092
0.800,1043.545,0.959730
0.900,1040.587,0.959250
1.000,1046.933,0.956707
1.100,1038.429,0.956388
1.200,1046.082,0.958509
1.300,1041.834,0.953509
1.400,1042.316,0.951346
1.500,1045.313,0.960602
1.600,1039.715,0.961696
1.700,1049.516,0.950832
1.800,1041.457,0.953055
1.900,1044.226,0.956013
2.000,1043.788,0.959595
2.100,1040.044,0.960571
2.200,1047.710,0.952380
2.300,1039.808,0.956271
2.400,1046.764,0.959245
2.500,1043.612,0.958682
2.600,1042.134,0.952579
2.700,1047.182,0.953359
2.800,1041.167,0.956254
2.900,1049.215,0.950727
3.000,1043.825,0.961584
3.100,1042.320,0.951683
3.200,1049.034,0.948900
3.300,1042.242,0.951213
