time,frequency,confidence
2.480,156.106,0.165767
2.490,154.693,0.070534
2.500,70.461,0.040590
2.510,69.697,0.239408
2.520,34.357,0.656191
2.530,33.640,0.325472
2.540,246.349,0.358388
2.550,262.906,0.546490
2.560,268.370,0.659189
2.570,272.546,0.769668
2.580,275.105,0.665527
2.590,286.282,0.459792
2.600,301.762,0.421848
2.610,316.260,0.833116
2.620,318.812,0.862302
2.630,315.406,0.635338
2.640,302.968,0.378484
2.650,278.626,0.268547
2.660,274.446,0.643191
2.670,270.161,0.624753
2.680,264.075,0.656411
2.690,262.536,0.676977
2.700,266.266,0.433989
2.710,269.308,0.359209
2.720,272.923,0.319218
2.730,262.204,0.322708
2.740,261.455,0.392121
2.750,258.550,0.420260
2.760,253.411,0.437052
2.770,241.718,0.349275
2.780,228.502,0.082600
2.790,225.924,0.098029
2.800,1146.127,0.083173
2.810,1156.875,0.113119
2.820,1174.867,0.088090
2.830,665.134,0.025234
2.840,225.034,0.391551
2.850,240.533,0.394313
2.860,234.935,0.435218
2.870,232.538,0.671727
2.880,233.277,0.796280
2.890,237.125,0.725269
2.900,244.216,0.742817
2.910,250.721,0.857784
2.920,257.009,0.730548
2.930,263.284,0.758390
2.940,268.685,0.823498
2.950,268.228,0.520156
2.960,263.669,0.344374
2.970,258.983,0.340280
2.980,258.482,0.317604
2.990,259.188,0.336130
3.000,264.466,0.416964
3.010,266.610,0.718046
3.020,263.918,0.631704
3.030,260.349,0.646198
3.040,257.533,0.558496
3.050,259.157,0.404209
3.060,254.313,0.364992
3.070,245.737,0.347095
3.080,242.011,0.319568
3.090,234.876,0.470664
3.100,227.465,0.660513
3.110,224.559,0.560445
3.120,227.059,0.400750
3.130,175.795,0.283183
3.140,152.981,0.344553
3.150,148.986,0.519549
3.160,145.652,0.628222
3.170,142.759,0.736181
3.180,139.291,0.849836
3.190,137.092,0.875276
3.200,134.471,0.882403
3.210,131.945,0.883393
3.220,130.015,0.889600
3.230,128.704,0.892550
3.240,127.735,0.877328
3.250,126.616,0.893113
3.260,126.018,0.864970
3.270,127.746,0.838812
3.280,130.261,0.796040
3.290,132.756,0.713629
3.300,139.389,0.356572
3.310,149.819,0.584729
3.320,157.460,0.558570
3.330,163.325,0.781864
3.340,166.940,0.738700
3.350,177.264,0.657878
3.360,183.372,0.821939
3.370,188.989,0.827394
3.380,194.288,0.764681
3.390,199.788,0.795853
3.400,205.324,0.805607
3.410,211.476,0.799663
3.420,216.576,0.858513
3.430,221.558,0.906894
3.440,225.050,0.878022
3.450,227.988,0.887633
3.460,231.187,0.897576
3.470,233.533,0.883536
3.480,234.809,0.842358
3.490,234.309,0.810450
3.500,235.293,0.756905
3.510,237.823,0.836196
3.520,239.438,0.949416
3.530,238.617,0.928334
3.540,236.503,0.903346
3.550,233.209,0.791760
3.560,226.696,0.614177
3.570,217.939,0.469997
3.580,213.670,0.453163
3.590,223.125,0.312294
3.600,226.703,0.341600
3.610,229.929,0.408502
3.620,225.156,0.412511
3.630,224.328,0.414142
3.640,223.257,0.517205
3.650,226.529,0.455114
3.660,230.002,0.322260
3.670,231.056,0.498648
3.680,230.418,0.475965
3.690,230.088,0.414787
3.700,229.555,0.339027
3.710,231.044,0.428099
3.720,232.477,0.331570
3.730,233.329,0.489389
3.740,220.505,0.480470
3.750,221.518,0.610783
3.760,225.580,0.756041
3.770,227.515,0.797489
3.780,228.380,0.917399
3.790,228.710,0.929699
3.800,227.104,0.876179
3.810,224.669,0.860953
3.820,221.020,0.797073
3.830,216.837,0.662668
3.840,208.167,0.563709
3.850,203.399,0.371359
3.860,181.798,0.340434
3.870,165.484,0.367990
3.880,163.170,0.373926
3.890,212.213,0.340381
3.900,195.825,0.446536
3.910,196.063,0.582501
3.920,193.978,0.882423
3.930,193.069,0.862749
3.940,191.405,0.782864
3.950,186.496,0.774935
3.960,180.762,0.646725
3.970,172.990,0.554558
3.980,165.075,0.606439
3.990,156.716,0.564797
4.000,150.596,0.517794
4.010,140.635,0.656386
4.020,136.976,0.844954
4.030,133.469,0.773429
4.040,129.916,0.750320
4.050,127.070,0.581368
4.060,128.133,0.388807
4.070,131.172,0.388885
4.080,105.053,0.394709
4.090,104.028,0.234008
4.100,51.270,0.074696
4.110,97.871,0.392894
4.120,96.432,0.670612
4.130,95.489,0.785626
4.140,95.273,0.805645
4.150,95.741,0.801869
4.160,95.541,0.780497
4.170,94.384,0.803062
4.180,93.255,0.757112
4.190,92.194,0.544370
4.200,86.861,0.644376
4.210,84.583,0.617306
4.220,83.645,0.379619
4.230,81.932,0.150735
4.240,80.526,0.133090
4.250,81.270,0.145613
4.260,1862.444,0.102114
4.270,1887.388,0.093748
4.280,1883.583,0.056724
4.290,1869.505,0.238268
4.300,1855.409,0.090290
4.310,1835.834,0.083163
4.320,1848.249,0.014134
4.330,1240.339,0.022427
4.340,1170.152,0.028711
4.350,663.808,0.045012
4.360,1179.696,0.050038
4.370,1167.333,0.047816
4.380,1166.449,0.024130
4.390,1163.623,0.035038
4.400,1165.169,0.027397
4.410,33.009,0.033559
4.420,987.516,0.085786
4.430,975.133,0.031701
4.440,1283.579,0.008738
4.450,128.974,0.039772
4.460,32.826,0.040528
4.470,33.010,0.045012
4.480,34.332,0.041360
4.490,33.024,0.013292
4.500,33.043,0.018957
4.510,925.414,0.185988
4.520,42.082,0.069793
4.530,33.914,0.044391
4.540,34.451,0.067664
4.550,37.768,0.165119
4.560,37.201,0.181470
4.570,73.923,0.086642
4.580,46.487,0.178402
4.590,46.265,0.389776
4.600,46.398,0.135052
4.610,140.871,0.049419
4.620,139.230,0.097612
4.630,154.089,0.181356
4.640,157.243,0.148154
4.650,315.572,0.280666
4.660,320.236,0.243066
4.670,152.189,0.100103
4.680,148.764,0.170260
4.690,336.330,0.065477
4.700,45.950,0.044108
4.710,670.064,0.031248
4.720,1101.966,0.016854
4.730,661.083,0.024556
4.740,956.081,0.104675
4.750,181.776,0.106618
4.760,169.237,0.474479
4.770,168.826,0.609617
4.780,168.079,0.797923
4.790,166.987,0.903907
4.800,165.090,0.832776
4.810,162.022,0.675962
4.820,163.892,0.570972
4.830,170.293,0.467991
4.840,177.374,0.751700
4.850,180.395,0.903951
4.860,181.954,0.923414
4.870,183.942,0.910642
4.880,186.340,0.860408
4.890,190.547,0.764487
4.900,195.565,0.845802
4.910,198.553,0.904152
4.920,201.333,0.899658
4.930,204.316,0.924941
4.940,206.107,0.960232
4.950,206.517,0.956169
4.960,205.695,0.905134
4.970,203.767,0.677521
4.980,200.186,0.382725
4.990,185.671,0.318647
5.000,169.768,0.211545
5.010,202.158,0.277591
5.020,202.717,0.541109
5.030,201.201,0.462188
5.040,203.641,0.371826
5.050,203.768,0.381034
5.060,202.718,0.458255
5.070,203.137,0.541300
5.080,201.393,0.367711
5.090,199.179,0.059756
5.100,978.728,0.032828
5.110,165.729,0.018880
5.120,220.521,0.153290
5.130,195.604,0.305646
5.140,208.120,0.440635
